Survey;Year;Haul;Month;Stratum;SweptSurface;Lat;Long;Depth
MEDITS-GSA18;2015;156;7;1;0.048;40.24525;18.46867;36.5
MEDITS-GSA18;2015;76;7;2;0.05;40.30242;18.44533;79.5
MEDITS-GSA18;2015;88;7;2;0.051;40.59992;18.26008;90.5
MEDITS-GSA18;2015;84;7;3;0.049;40.60108;18.50808;119
MEDITS-GSA18;2015;157;7;3;0.052;40.4255;18.50658;111.5
MEDITS-GSA18;2015;77;7;4;0.107;40.36433;18.61775;407.5
MEDITS-GSA18;2015;78;7;5;0.099;40.46292;18.63975;592
MEDITS-GSA18;2015;86;7;5;0.103;40.61925;18.61392;545.5
MEDITS-GSA18;2015;85;7;4;0.107;40.677;18.53933;465.5
MEDITS-GSA18;2015;98;7;5;0.102;40.77133;18.41183;525.5
MEDITS-GSA18;2015;83;7;3;0.051;40.6485;18.44208;122.5
MEDITS-GSA18;2015;93;7;3;0.054;40.66958;18.35525;117.5
MEDITS-GSA18;2015;95;7;3;0.053;40.70975;18.23817;121
MEDITS-GSA18;2015;158;7;3;0.053;40.71683;18.10308;112.5
MEDITS-GSA18;2015;154;7;2;0.05;40.75958;17.82833;77.5
MEDITS-GSA18;2015;109;7;1;0.048;41.29708;16.55742;42.5
MEDITS-GSA18;2015;112;7;2;0.051;41.33508;16.561;56.5
MEDITS-GSA18;2015;125;7;1;0.048;41.39675;16.405;35
MEDITS-GSA18;2015;116;7;5;0.103;41.51283;17.16475;545
MEDITS-GSA18;2015;147;7;3;0.05;41.6915;16.699;105
MEDITS-GSA18;2015;148;7;3;0.051;41.60475;16.74883;108
MEDITS-GSA18;2015;137;7;3;0.052;41.53642;16.85458;123.5
MEDITS-GSA18;2015;110;7;3;0.048;41.43667;16.84075;111.5
MEDITS-GSA18;2015;123;7;1;0.045;41.57842;16.22083;16.5
MEDITS-GSA18;2015;121;7;1;0.046;41.71717;16.16175;10
MEDITS-GSA18;2015;117;7;1;0.048;41.77542;16.33842;33
MEDITS-GSA18;2015;126;7;2;0.048;41.71667;16.51558;83.5
MEDITS-GSA18;2015;129;7;2;0.049;41.58817;16.52425;77.5
MEDITS-GSA18;2015;160;7;2;0.048;41.49133;16.50142;67
MEDITS-GSA18;2015;100;7;1;0.048;41.19017;16.75292;38
MEDITS-GSA18;2015;105;7;2;0.051;41.18233;16.82717;54.5
MEDITS-GSA18;2015;104;7;2;0.048;41.13258;17.05933;91.5
MEDITS-GSA18;2015;107;7;3;0.05;41.24942;16.97108;112.5
MEDITS-GSA18;2015;138;7;3;0.05;41.32292;16.85358;107
MEDITS-GSA18;2015;135;7;1;0.048;41.01442;17.2185;32
MEDITS-GSA18;2015;161;7;3;0.049;41.11417;17.31592;120.5
MEDITS-GSA18;2015;150;7;3;0.052;41.04275;17.47783;132
MEDITS-GSA18;2015;134;7;2;0.051;40.93083;17.45858;74
MEDITS-GSA18;2015;101;7;2;0.051;40.87183;17.5535;60.5
MEDITS-GSA18;2015;133;7;3;0.052;40.97033;17.60933;108.5
MEDITS-GSA18;2015;132;7;3;0.052;40.90775;17.6735;104.5
MEDITS-GSA18;2015;131;7;3;0.052;40.85067;17.82633;103
MEDITS-GSA18;2015;151;7;4;0.107;41.02133;17.84;381
MEDITS-GSA18;2015;152;7;5;0.103;41.04058;17.86633;563.5
MEDITS-GSA18;2015;162;7;3;0.052;41.83383;16.7185;133.5
MEDITS-GSA18;2015;146;7;3;0.052;41.919;16.76142;170.5
MEDITS-GSA18;2015;139;7;4;0.107;41.91183;16.835;229.5
MEDITS-GSA18;2015;143;7;5;0.101;42.02458;17.01567;588
MEDITS-GSA18;2015;144;7;5;0.102;42.11833;17.02225;602
MEDITS-GSA18;2015;145;7;4;0.109;42.16608;16.94975;377.5
MEDITS-GSA18;2015;142;7;4;0.103;41.53775;17.08608;410
MEDITS-GSA18;2015;80;7;1;0.047;41.12858;16.9555;37.5
MEDITS-GSA18;2015;97;7;3;0.052;40.78733;17.99383;108
