Survey;Year;Haul;Species;Number;Weight
MEDITS-GSA18;2017;76;ALLOMED;86;0.18
MEDITS-GSA18;2017;76;ALLOSUB;46;0.17
MEDITS-GSA18;2017;76;ARNOLAT;28;0.16
MEDITS-GSA18;2017;76;ARNOTHO;108;1.16
MEDITS-GSA18;2017;76;ASPICUC;8;0.24
MEDITS-GSA18;2017;76;BLENOCE;8;0.17
MEDITS-GSA18;2017;76;BOOPBOO;22;0.67
MEDITS-GSA18;2017;76;BOTHPOD;5;0.08
MEDITS-GSA18;2017;76;CEPOMAC;15;0.27
MEDITS-GSA18;2017;76;CITHMAC;19;0.75
MEDITS-GSA18;2017;76;ECHEMIR;4;0.28
MEDITS-GSA18;2017;76;GOBIQUA;4;0.02
MEDITS-GSA18;2017;76;HIPPGUT;1;0.005
MEDITS-GSA18;2017;76;ILLECOI;157;3.545
MEDITS-GSA18;2017;76;LEPTCAV;6;0.025
MEDITS-GSA18;2017;76;LOLIVUL;3;0.18
MEDITS-GSA18;2017;76;LOPHBUD;1;0.19
MEDITS-GSA18;2017;76;MCPIDEP;7;0.075
MEDITS-GSA18;2017;76;MERLMER;98;3.66
MEDITS-GSA18;2017;76;MULLBAR;2604;38.7
MEDITS-GSA18;2017;76;MULLSUR;12;0.445
MEDITS-GSA18;2017;76;OCTOVUL;23;6.79
MEDITS-GSA18;2017;76;PAGEACA;450;8.4
MEDITS-GSA18;2017;76;PAGEBOG;292;2.35
MEDITS-GSA18;2017;76;PAGEERY;19;0.17
MEDITS-GSA18;2017;76;PAPELON;167;1.1
MEDITS-GSA18;2017;76;RAJAMIR;18;5.69
MEDITS-GSA18;2017;76;SARDPIL;33;0.56
MEDITS-GSA18;2017;76;SCOHRHO;1;0.8
MEDITS-GSA18;2017;76;SCOMPNE;1;0.015
MEDITS-GSA18;2017;76;SCORNOT;14;0.26
MEDITS-GSA18;2017;76;SEPIELE;1;0.01
MEDITS-GSA18;2017;76;SEPIOFF;5;0.64
MEDITS-GSA18;2017;76;SERAHEP;17;0.21
