N.;MeditsCode;Scientific Name                                                 valid;Authorship ;Source;Reference;Remarks;CATFAU;CODLON;GSAs;Year
19;AEODMAR;Nemastoma marginatum;J. Agardh, 1842;;;v1;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
20;AEQOFOR;Aequorea forskalea;Péron & Lesueur, 1810;;;;Ecn;;5;2013 (5)
21;AEQUCOM;Aequipecten commutatus;(Monterosato, 1875);;;;Dmb;;10;2013 (10)
22;AEQUOPE;Aequipecten opercularis;(Linnaeus, 1758);F;PECT Aeq 1;d1;Dmb;0;1, 5, 6, 9, 17, 18, 19;
23;AGELORO;Agelas oroides;(Schmidt, 1864);R;p. 116 Tav. 39;;Esp;0;19;2011 (19)
24;AGLAPLU;Aglaophenia pluma;(Linnaeus, 1758);;;;Ecn;;16;2013 (16)
25;AGLJTRI;Aglaja tricolorata;Renier, 1807;;;;Emo;;16;2013 (16)
26;ALCDSPP;Alcyonidium spp.;Lamouroux, 1813;;;;Ebr;;7;2013 (7)
27;ALCODAE;Alcyoniidae;Lamouroux, 1812;;;;Ecn;;15;2012 (15)
28;ALCYACA;Alcyonium acaule;Marion, 1878;;;;Ecn;;1, 5, 10, 16;2013 (1, 5)
